feature,pearson_r,p_value,p_fdr_BH,n_samples,fisher_z,t_statistic,abs_r,neg_log10_p,sig_p_0_05,sig_p_0_01,sig_p_0_001,sig_fdr_0_05,sig_fdr_0_10
"Degree bothered by nausea in the last 3 months (0.0)",-0.0623538592020833,3.36560567705796e-28,3.8153448160863e-25,31128,-11.0149318571938,-11.0222665513274,0.0623538592020833,27.4729367684284,1,1,1,1,1
"Degree bothered by back pain in the past 3 months (0.0)",-0.062309821881938,3.6480490893668e-28,3.8153448160863e-25,31131,-11.0076628188081,-11.0149825272737,0.062309821881938,27.4379393262927,1,1,1,1,1
"Degree bothered by feeling tired all the time in the last 3 months (0.0)",-0.062299454072724,3.70848126654462e-28,3.8153448160863e-25,31133,-11.0061800455423,-11.0134963735039,0.062299454072724,27.4308039104925,1,1,1,1,1
"Degree bothered by feeling heart pound/race in the last 3 months (0.0)",-0.0622968076833115,3.72779403436208e-28,3.8153448160863e-25,31133,-11.0057113054387,-11.0130267135971,0.0622968076833115,27.4285480910099,1,1,1,1,1
"Degree bothered by headaches in the last 3 months (0.0)",-0.0622678664472404,3.95335727745263e-28,3.8153448160863e-25,31132,-11.0004084275908,-11.0077136701048,0.0622678664472404,27.4030339353118,1,1,1,1,1
"Degree bothered by chest pain in the last 3 months (0.0)",-0.0622643623485941,4.06729089070497e-28,3.8153448160863e-25,31121,-10.9978441191623,-11.0051469168934,0.0622643623485941,27.3906947659504,1,1,1,1,1
"Degree bothered by urinary frequency/bladder irritability in the last 3 months (0.0)",-0.0622098564905031,4.51705139531687e-28,4.01423225315397e-25,31122,-10.9883682924499,-10.9956522976137,0.0622098564905031,27.3451449679784,1,1,1,1,1
"Degree bothered by pain in arms/legs/joints in the past 3 months (0.0)",-0.0621681438786905,4.80684188183473e-28,4.05817625873897e-25,31132,-10.9827455893195,-10.990016260865,0.0621681438786905,27.3181401634915,1,1,1,1,1
"Degree bothered by dizziness in the last 3 months (0.0)",-0.0620985050642474,5.51961962615315e-28,4.43803701845695e-25,31131,-10.970235098731,-10.9774815833324,0.0620985050642474,27.2580908497988,1,1,1,1,1
"Degree bothered by fainting spells in the last 3 months (0.0)",-0.0619714116591698,7.15878072607592e-28,5.39932331928611e-25,31125,-10.9466700681631,-10.9538720919999,0.0619714116591698,27.145160939847,1,1,1,1,1
"Head bone area (2.0)",0.0630854263833869,7.35471935703764e-28,5.39932331928611e-25,30020,10.9443459398947,10.9518084655453,0.0630854263833869,27.1334338945225,1,1,1,1,1
"Degree bothered by shortness of breath in the last 3 months (0.0)",-0.0618573030524841,8.85709417021157e-28,6.23133479433427e-25,31130,-10.927339892167,-10.9345032938795,0.0618573030524841,27.0527087378009,1,1,1,1,1
"Ribs bone area (2.0)",0.0619636817855043,6.19677043507643e-27,4.18529875185062e-24,30020,10.7492362677679,10.7563130316198,0.0619636817855043,26.2078345923813,1,1,1,1,1
"Contra-indications for spirometry (2.0)",0.0510427410776266,1.68730040867813e-26,1.09577182309732e-23,43505,10.6553125149472,10.6600705174153,0.0510427410776266,25.7728075882962,1,1,1,1,1
"Conclusion duration (2.0)",-0.050365408446965,2.07238704137307e-26,1.29600945161423e-23,44524,-10.6361007153418,-10.6407251279225,0.050365408446965,25.6835291320179,1,1,1,1,1
"Verbal interview duration (0.0)",-0.0502798048216465,2.51595376671708e-26,1.51720997682207e-23,44524,-10.6179924937666,-10.6225937307675,0.0502798048216465,25.599297343769,1,1,1,1,1
"L1-L4 average width (2.0)",0.0618596623460608,1.22988154272062e-25,7.16087925821987e-23,28576,10.4698472632071,10.4767263105417,0.0618596623460608,24.9101367160567,1,1,1,1,1
"L1-L4 area (2.0)",0.0613133636964977,3.25650206850766e-25,1.83286791422506e-22,28576,10.3771518114611,10.3838529385722,0.0613133636964977,24.4872486416289,1,1,1,1,1
"Nitrogen dioxide air pollution; 2005 (0.0)",-0.0493135063064414,4.20146303059623e-25,2.28844204101992e-22,43996,-10.3516620730913,-10.3559826643122,0.0493135063064414,24.3765994535366,1,1,1,1,1
"Femur shaft bone area (right) (2.0)",0.0590427104756893,9.24156989885392e-24,4.87637211694214e-21,28922,10.0522514186024,10.0582803788542,0.0590427104756893,23.0342542473409,1,1,1,1,1
"Non-cancer illness code, self-reported (1571.0 - chickenpox)",0.0457013071144544,4.95104559719657e-22,2.53328499723224e-19,44535,9.6508897200891,9.6543626433543,0.0457013071144544,21.3053030739675,1,1,1,1,1
"Femur neck bone area (right) (2.0)",0.0563800004873846,7.63419527497913e-22,3.79127609464773e-19,28978,9.60721693347208,9.61248417987684,0.0563800004873846,21.1172367354321,1,1,1,1,1
"Femur shaft bone area (left) (2.0)",0.0550453916156174,1.58253237817739e-21,7.63458834443576e-19,29927,9.53169204712906,9.53667536631089,0.0550453916156174,20.800647395674,1,1,1,1,1
"Femur total area (right) (2.0)",0.0556076960157184,2.96894940714217e-21,1.39251974276654e-18,28922,9.46618051754126,9.47123368516555,0.0556076960157184,20.5273972030056,1,1,1,1,1
"Forced vital capacity (FVC) (2.1)",0.0564485828925005,9.85308926206422e-21,4.4964705997285e-18,27322,9.34001052776537,9.34515315163111,0.0564485828925005,20.0064275827897,1,1,1,1,1
"Legs combined bone area (2.0)",0.0537271163745454,1.21664099062591e-20,5.40604819124172e-18,30020,9.31741794360667,9.32206512897882,0.0537271163745454,19.9148375555348,1,1,1,1,1
"When invitation to complete online cognitive function questionnaire sent (1.0)",0.0446080584542957,4.16938812044318e-20,1.80513124137649e-17,42344,9.18506406430628,9.18822311032998,0.0446080584542957,19.3799276753412,1,1,1,1,1
"Forced vital capacity (FVC) (2.0)",0.0545395894122424,1.83279767133864e-19,7.73669717013823e-17,27331,9.02499473792711,9.02964374472431,0.0545395894122424,18.7368854756112,1,1,1,1,1
"Trunk bone area (2.0)",0.0505085082120984,2.014597428671e-18,8.296701849539e-16,30020,8.75826142078739,8.76213807299232,0.0505085082120984,17.695811724696,1,1,1,1,1
"Femur neck bone area (left) (2.0)",0.0502194599599472,3.33843939329289e-18,1.34213212275596e-15,29972,8.70108997769332,8.70489917936531,0.0502194599599472,17.4764565036292,1,1,1,1,1
"Femur total area (left) (2.0)",0.0502133392443118,3.5693821429333e-18,1.40160505775416e-15,29927,8.69349348374862,8.69729868407444,0.0502133392443118,17.4474069533941,1,1,1,1,1
"Forced expiratory volume in 1-second (FEV1) (2.0)",0.0523015314205848,5.05769964628137e-18,1.94089223926047e-15,27331,8.65395827911357,8.65806984871201,0.0523015314205848,17.2960469649947,1,1,1,1,1
"Arms combined bone area (2.0)",0.0495034299583672,9.32315085466634e-18,3.49825338180091e-15,30020,8.5836908983234,8.58734595608663,0.0495034299583672,17.0304372885541,1,1,1,1,1
"Health score (England) (0.0)",-0.0425420169639306,1.33565701052574e-17,4.90273230928849e-15,40269,-8.54180249706641,-8.54448846777621,0.0425420169639306,16.8743050520104,1,1,1,1,1
"Forced expiratory volume in 1-second (FEV1) (2.1)",0.0511358335236943,2.7299168081916e-17,9.80737134176918e-15,27322,8.45934446506886,8.46319296590023,0.0511358335236943,16.5638505874991,1,1,1,1,1
"Head BMC (bone mineral content) (2.0)",0.0484698518630867,4.36657878678454e-17,1.53603505864285e-14,30020,8.40418843886721,8.40762473127469,0.0484698518630867,16.3598586993995,1,1,1,1,1
"Pelvis bone area (2.0)",0.0484151168590689,4.73442189793817e-17,1.63144313768747e-14,30020,8.39468306633288,8.39810802754671,0.0484151168590689,16.3247330434534,1,1,1,1,1
"QRS num (2.0)",0.0485662588877221,1.27774951409736e-16,4.31496010910678e-14,29004,8.27719031390003,8.28059246088435,0.0485662588877221,15.8935542755262,1,1,1,1,1
"Legs BMD (bone mineral density) (2.0)",0.0476877047451843,1.37528023309681e-16,4.55325622271365e-14,30020,8.26836423188684,8.27164099951652,0.0476877047451843,15.8616087990793,1,1,1,1,1
"Total BMD (bone mineral density) (2.0)",0.0465698722508554,6.86643870728249e-16,2.22961187639355e-13,30020,8.07426397394594,8.07732157453584,0.0465698722508554,15.1632684522844,1,1,1,1,1
"Number of self-reported non-cancer illnesses (0.0)",-0.0377328766016917,1.65869353044124e-15,5.284347219151e-13,44524,-7.96541870730771,-7.96740026980137,0.0377328766016917,14.780233849258,1,1,1,1,1
"Number of treatments/medications taken (0.0)",-0.037640646119829,1.94133979681106e-15,6.07028193873236e-13,44524,-7.94593039652924,-7.94789788568967,0.037640646119829,14.7118984424765,1,1,1,1,1
"Spine BMD (bone mineral density) (2.0)",0.045664825407542,2.45637595002399e-15,7.54107416657365e-13,30020,7.91712664163741,7.92001424889759,0.045664825407542,14.6097051633754,1,1,1,1,1
"Head BMD (bone mineral density) (2.0)",0.0455543757932063,2.86500326906255e-15,8.63849646395021e-13,30020,7.89795089765854,7.90081820895888,0.0455543757932063,14.5428748781521,1,1,1,1,1
"Interpolated Year when non-cancer illness first diagnosed (0.0)",-0.0462343696855333,3.39652919486585e-15,1.00614728868965e-12,28986,-7.87673706505024,-7.87968354541302,0.0462343696855333,14.4689646480791,1,1,1,1,1
"Impedance of leg (right) (2.0)",0.0419443243265737,4.59814151856243e-15,1.33861413001598e-12,34886,7.83853676686815,7.84095047986333,0.0419443243265737,14.3374176664323,1,1,1,1,1
"Impedance of leg (left) (2.0)",0.0407162393336481,2.78849271554681e-14,7.98028805118778e-12,34886,7.60877493446074,7.6109888462399,0.0407162393336481,13.5546304856899,1,1,1,1,1
"Genetic principal components (0.11)",-0.0363882365239157,3.3533576461599e-14,9.43690730923497e-12,43411,-7.58468748191266,-7.58645027471766,0.0363882365239157,13.474520125226,1,1,1,1,1
"Records in HES inpatient diagnoses dataset (0.0)",-0.0385927710982666,5.06526012530808e-14,1.40208061009552e-11,38046,-7.53111179535406,-7.5330822742334,0.0385927710982666,13.2953982466344,1,1,1,1,1
"Distance (Euclidean) to coast (0.0)",-0.0357210624631916,6.29386558098372e-14,1.71406323120823e-11,44079,-7.50257380292839,-7.5042559308817,0.0357210624631916,13.2010825366151,1,1,1,1,1
"Interpolated Age of participant when non-cancer illness first diagnosed (2.0)",-0.0419507365794935,8.24603350707789e-14,2.21006786931762e-11,31651,-7.46737027324115,-7.46968130843976,0.0419507365794935,13.0837549048112,1,1,1,1,1
"Diagnoses - main ICD10 (K709)",-0.035311009333429,9.06141438320214e-14,2.39065596656825e-11,44535,-7.454642689451,-7.45627695040436,0.035311009333429,13.042804008628,1,1,1,1,1
"Legs BMC (bone mineral content) (2.0)",0.0426977021733509,1.35172273674797e-13,3.4634108787747e-11,30020,7.40205443839146,7.40442982204493,0.0426977021733509,12.8691123810638,1,1,1,1,1
"QT interval (2.0)",0.0434372955453972,1.35377623926047e-13,3.4634108787747e-11,29004,7.40189005717921,7.40434850893956,0.0434372955453972,12.8684531126709,1,1,1,1,1
"Records in HES inpatient operations dataset (0.0)",-0.0379110340206778,1.50739315548534e-13,3.79885573587611e-11,37937,-7.38734092808165,-7.38920971823493,0.0379110340206778,12.8217734610303,1,1,1,1,1
"General happiness with own health (0.0)",0.0441499211979546,1.88508082624768e-13,4.68082202223412e-11,27741,7.35783290980889,7.3603592608057,0.0441499211979546,12.7246700238981,1,1,1,1,1
"Number of symbol digit matches attempted (1.0)",0.0402450833273616,2.04952280347502e-13,5.01539022270663e-11,33289,7.34646258080361,7.34855840524389,0.0402450833273616,12.6883472452576,1,1,1,1,1
"Treatment/medication code (1141171038.0 - oxycodone hydrochloride)",-0.0345606465815043,2.97734520440388e-13,7.18178196805136e-11,44535,-7.29610308380606,-7.2976387214553,0.0345606465815043,12.5261708087271,1,1,1,1,1
"Non-cancer illness code, self-reported (1568.0 - measles / morbillivirus)",0.0345281328876685,3.13308598782827e-13,7.45100801471554e-11,44535,7.28923364954712,7.29076510765031,0.0345281328876685,12.5040276857034,1,1,1,1,1
"Total BMC (bone mineral content) (2.0)",0.0419007076259917,3.79379208796695e-13,8.89696936185026e-11,30020,7.26372431589135,7.26597347157387,0.0419007076259917,12.4209264735325,1,1,1,1,1
"Arms BMD (bone mineral density) (2.0)",0.0414786956413207,6.50243207613832e-13,1.50402144665199e-10,30020,7.1904816897312,7.19266589171781,0.0414786956413207,12.1869241757122,1,1,1,1,1
"Femur wards bone area (right) (2.0)",0.0421864233608267,6.7576200974508e-13,1.54192453169536e-10,28978,7.18525631508352,7.18751432365107,0.0421864233608267,12.1702062272132,1,1,1,1,1
"Operative procedures - OPCS4 (K601 - K60.1 Implantation of intravenous cardiac pacemaker system NEC)",-0.0339049392087351,8.25076733279495e-13,1.8575227521899e-10,44535,-7.15756938688415,-7.15902222155091,0.0339049392087351,12.0835056595832,1,1,1,1,1
"Length of working week for main job (0.0)",0.0392803248196772,1.20189663927823e-12,2.67026641502802e-10,32696,7.10601256624121,7.1079506576012,0.0392803248196772,11.9201328791895,1,1,1,1,1
"Greenspace percentage, buffer 1000m (0.0)",0.034844452230336,1.73696197968836e-12,3.80890948403091e-10,40962,7.05479130218244,7.05630626183319,0.034844452230336,11.7602096877085,1,1,1,1,1
"Number of symbol digit matches made correctly (1.0)",0.0375109727920733,7.58735924522478e-12,1.64246872891821e-09,33289,6.84688369101105,6.84859386231581,0.0375109727920733,11.1199093525347,1,1,1,1,1
"Operative procedures - secondary OPCS4 (Y781 - Y78.1 Arteriotomy approach to organ using image guidance with fluoroscopy)",-0.0323502569910206,8.57634905727745e-12,1.83305890926747e-09,44535,-6.8291304087774,-6.83039915124013,0.0323502569910206,11.0666975515127,1,1,1,1,1
"RR interval (2.0)",0.0400415152609518,8.99466408042996e-12,1.89843628747575e-09,29004,6.82258973732183,6.82453262794301,0.0400415152609518,11.0460150514112,1,1,1,1,1
"Impedance of whole body (2.0)",0.0362602132909106,1.248407325068e-11,2.60238983750285e-09,34885,6.77519015885083,6.77677336923294,0.0362602132909106,10.9036436917631,1,1,1,1,1
"Diagnoses - main ICD10 (H491)",-0.0320198031020206,1.39154773200766e-11,2.86540042133528e-09,44535,-6.75932371327395,-6.76055548757354,0.0320198031020206,10.8565018921743,1,1,1,1,1
"Diagnoses - secondary ICD10 (K605)",-0.0319293454041961,1.58735619478064e-11,3.22921799383989e-09,44535,-6.74021524527404,-6.74143702941994,0.0319293454041961,10.7993256088027,1,1,1,1,1
"Diagnoses - secondary ICD10 (M1999)",-0.0318969493547096,1.66384687135642e-11,3.34453028843489e-09,44535,-6.73337186480335,-6.73459008459253,0.0318969493547096,10.7788866455844,1,1,1,1,1
"Diagnoses - secondary ICD10 (G620)",-0.0318661170999295,1.73999165373709e-11,3.45644224392361e-09,44535,-6.7268588353569,-6.72807366942977,0.0318661170999295,10.759452834904,1,1,1,1,1
"Diagnoses - main ICD10 (I672)",-0.0318288939885854,1.83647530000363e-11,3.60568435355364e-09,44535,-6.71899581347467,-6.72020656859332,0.0318288939885854,10.7360149083991,1,1,1,1,1
"Femur troch bone area (right) (2.0)",0.039364525223328,2.03760600474981e-11,3.95459510232189e-09,28978,6.70411126543005,6.70596031768597,0.039364525223328,10.6908797881927,1,1,1,1,1
"Diagnoses - secondary ICD10 (S320)",-0.0316140631872435,2.5046133570974e-11,4.80572687893065e-09,44535,-6.67361525041556,-6.6748026462735,0.0316140631872435,10.6012593076567,1,1,1,1,1
"Diagnoses - secondary ICD10 (Z504)",-0.0315756404263133,2.64697224246587e-11,4.96601403489291e-09,44535,-6.66549894440098,-6.66668219506011,0.0315756404263133,10.5772506129137,1,1,1,1,1
"Diagnoses - ICD10 (Z504 - Z50.4 Psychotherapy, not elsewhere classified)",-0.0315756404263133,2.64697224246587e-11,4.96601403489291e-09,44535,-6.66549894440098,-6.66668219506011,0.0315756404263133,10.5772506129137,1,1,1,1,1
"Diagnoses - ICD10 (M1999 - M19.99 Arthrosis, unspecified (Site unspecified))",-0.031534007376703,2.81016852972835e-11,5.21425226642453e-09,44535,-6.65670452911721,-6.65788329938199,0.031534007376703,10.5512676340678,1,1,1,1,1
"Histology of cancer tumour (9440.0)",-0.0314476526823168,3.18068632243923e-11,5.7857381863644e-09,44535,-6.63846334850271,-6.63963286248148,0.0314476526823168,10.4974791586672,1,1,1,1,1
"Diagnoses - main ICD10 (K908)",-0.0314463347400544,3.18669618792946e-11,5.7857381863644e-09,44535,-6.6381849530245,-6.63935432611926,0.0314463347400544,10.4966593391605,1,1,1,1,1
"General happiness (0.0)",0.0398535372685505,3.32938625992723e-11,5.97889493735322e-09,27666,6.63203182189784,6.63390933967968,0.0398535372685505,10.4776358170921,1,1,1,1,1
"Arms BMC (bone mineral content) (2.0)",0.0382513765556028,3.36390298518541e-11,5.97889493735322e-09,30020,6.63044475764166,6.63217383490092,0.0382513765556028,10.4731565377273,1,1,1,1,1
"Mother's age at death (2.0)",-0.0367447253914564,4.00290968634226e-11,7.04053438061345e-09,32282,-6.60466226156993,-6.60625227085859,0.0367447253914564,10.3976242083375,1,1,1,1,1
"Systolic blood pressure, automated reading (2.1)",0.035445931616652,4.05860332268531e-11,7.06489867046819e-09,34671,6.60256633064962,6.60404541464463,0.035445931616652,10.3916233934197,1,1,1,1,1
"Operative procedures - secondary OPCS4 (K601 - K60.1 Implantation of intravenous cardiac pacemaker system NEC)",-0.0312354446528694,4.30624251977606e-11,7.41948009657335e-09,44535,-6.59363789125491,-6.59478486951752,0.0312354446528694,10.3659015151455,1,1,1,1,1
"Someone to take to doctor when needed as a child (0.0)",0.0395587034758139,4.6416621985102e-11,7.91661274968128e-09,27665,6.58279806387838,6.58463590171061,0.0395587034758139,10.3333264689342,1,1,1,1,1
"Diagnoses - secondary ICD10 (Z431)",-0.0311069364194237,5.16847928512925e-11,8.72697727294074e-09,44535,-6.56649292921097,-6.56762640530204,0.0311069364194237,10.2866372200061,1,1,1,1,1
"Operative procedures - OPCS4 (M271 - M27.1 Ureteroscopic laser fragmentation of calculus of ureter)",-0.0310309728041319,5.75532454253584e-11,9.61863544580185e-09,44535,-6.55044713772408,-6.55157268361358,0.0310309728041319,10.2399301814941,1,1,1,1,1
"Invitation to complete online Health and Well-being Questionnaire, date sent (0.0)",0.0316705748549972,5.81048750649564e-11,9.61863544580185e-09,42735,6.54904270148815,6.55021494000613,0.0316705748549972,10.2357874282811,1,1,1,1,1
"Sitting height (2.0)",0.0314210645841311,5.96718415272533e-11,9.78212664259876e-09,43364,6.54505838744117,6.54621160491472,0.0314210645841311,10.2242305592267,1,1,1,1,1
"L1-L4 BMD (bone mineral density) (2.0)",0.0385475295594803,7.10705676522444e-11,1.15387166808476e-08,28576,6.51913113542857,6.52086143846249,0.0385475295594803,10.1483102157627,1,1,1,1,1
"Forced expiratory volume in 1-second (FEV1), predicted (0.0)",0.0394205817204267,7.4688356103225e-11,1.20105989790758e-08,27261,6.51171127504999,6.51351914537998,0.0394205817204267,10.1267470993128,1,1,1,1,1
"Diagnoses - secondary ICD10 (G379)",-0.0308197033323314,7.75165956758506e-11,1.23478086602522e-08,44535,-6.50582109302152,-6.50692478256472,0.0308197033323314,10.1106053086051,1,1,1,1,1
"Diagnoses - main ICD10 (E161)",-0.0307682905957679,8.33178065290195e-11,1.31478613387149e-08,44535,-6.49496136759004,-6.49605978250102,0.0307682905957679,10.0792621720522,1,1,1,1,1
"Operative procedures - secondary OPCS4 (C652 - C65.2 Injection of bleb)",-0.0306420347221655,9.94248981545597e-11,1.55443463457383e-08,44535,-6.46829294422113,-6.46937847906009,0.0306420347221655,10.0025048452093,1,1,1,1,1
"Length of mobile phone use (2.0)",0.0308105164750346,1.07620713181095e-10,1.66713370831449e-08,43886,6.45631354622547,6.45740929915001,0.0308105164750346,9.9681041342967,1,1,1,1,1
"Diagnoses - secondary ICD10 (K439)",-0.0305092607953044,1.19643363154649e-10,1.83652562442386e-08,44535,-6.44024796647913,-6.44132006785992,0.0305092607953044,9.9221113875249,1,1,1,1,1
"Number of correct matches in round (2.1)",0.0313304657354009,1.35725506224632e-10,2.06461727261523e-08,41979,6.42110154148335,6.42222926868524,0.0313304657354009,9.86733852985166,1,1,1,1,1
"L1-L4 BMC (bone mineral content) (2.0)",0.0378800265541988,1.499520942869e-10,2.26066170717348e-08,28576,6.40613441917812,6.40778014670857,0.0378800265541988,9.82404746434332,1,1,1,1,1
"Number of correct matches in round (2.3)",0.0383325970801721,1.55794378782847e-10,2.3279540581844e-08,27854,6.40031711112931,6.40200111850611,0.0383325970801721,9.80744821616045,1,1,1,1,1
"Diagnoses - secondary ICD10 (F331)",-0.0302653965169094,1.67754626374095e-10,2.48468146168999e-08,44535,-6.38873868407932,-6.38978640867348,0.0302653965169094,9.77532549392478,1,1,1,1,1
"Diagnoses - secondary ICD10 (I10)",-0.0300805014270223,2.16378258690626e-10,3.17699730260106e-08,44535,-6.34968544642385,-6.35071494296446,0.0300805014270223,9.66478637852406,1,1,1,1,1
"PQ interval (2.0)",0.0380600344950424,2.49295785694794e-10,3.62875805297982e-08,27621,6.32812608063238,6.32977004539568,0.0380600344950424,9.60328506311262,1,1,1,1,1
"Diagnoses - secondary ICD10 (D151)",-0.0299620805299366,2.54489893058454e-10,3.6727024310188e-08,44535,-6.32467300734054,-6.3256909437004,0.0299620805299366,9.59432946077753,1,1,1,1,1
"Crime score (England) (0.0)",-0.0314325555057288,2.80885753215169e-10,4.01928469748994e-08,40269,-6.30945758908386,-6.31057564814698,0.0314325555057288,9.55147028805705,1,1,1,1,1
"Operative procedures - OPCS4 (C652 - C65.2 Injection of bleb)",-0.0298496615416326,2.96695093411444e-10,4.20982911953968e-08,44535,-6.3009284343886,-6.30193547877772,0.0298496615416326,9.52768963575918,1,1,1,1,1
"Diagnoses - ICD10 (G620 - G62.0 Drug-induced polyneuropathy)",-0.029826123444902,3.06360626361886e-10,4.31074931343371e-08,44535,-6.29595685626867,-6.29696163023643,0.029826123444902,9.51376705122139,1,1,1,1,1
"Diagnoses - ICD10 (I10 - I10 Essential (primary) hypertension)",-0.0296411887135956,3.93780954626598e-10,5.47177911908386e-08,44535,-6.25689627449386,-6.2578833316483,0.0296411887135956,9.40474529251632,1,1,1,1,1
"Diagnoses - secondary ICD10 (E780)",-0.0296334911150706,3.97904176171458e-10,5.47177911908386e-08,44535,-6.25527045249277,-6.25625677687582,0.0296334911150706,9.40022150272669,1,1,1,1,1
"Diagnoses - ICD10 (E780 - E78.0 Pure hypercholesterolaemia)",-0.0296266607964591,4.01598106028354e-10,5.47177911908386e-08,44535,-6.25382781068028,-6.25481348516372,0.0296266607964591,9.39620834402881,1,1,1,1,1
"Domestic garden percentage, buffer 1000m (0.0)",-0.0308908016651673,4.0183631078851e-10,5.47177911908386e-08,40962,-6.25377208121958,-6.25484371707261,0.0308908016651673,9.39595082203631,1,1,1,1,1
"QTC interval (2.0)",0.036661202069904,4.22612602929162e-10,5.70865104036712e-08,29004,6.24608472762809,6.24759295594631,0.036661202069904,9.37405755579062,1,1,1,1,1
"Carer support indicators (0.0)",0.0331304322988775,4.41631828406943e-10,5.91821700210415e-08,35441,6.23908177423607,6.24031207907863,0.0331304322988775,9.35493963454656,1,1,1,1,1
"Operative procedures - secondary OPCS4 (V018 - V01.8 Other specified plastic repair of cranium)",-0.0294965805021605,4.78686972719457e-10,6.31455432372503e-08,44535,-6.22635346849841,-6.22732682170826,0.0294965805021605,9.31994839151333,1,1,1,1,1
"Operative procedures - OPCS4 (V018 - V01.8 Other specified plastic repair of cranium)",-0.0294965805021605,4.78686972719457e-10,6.31455432372503e-08,44535,-6.22635346849841,-6.22732682170826,0.0294965805021605,9.31994839151333,1,1,1,1,1
"Been in a confiding relationship as an adult (0.0)",0.0376927864323239,4.87897301476633e-10,6.34092020535486e-08,27240,6.22362877348156,6.2252182507239,0.0376927864323239,9.31167158393128,1,1,1,1,1
"Belief that own life is meaningful (0.0)",0.0376884472786642,4.90489549829496e-10,6.34092020535486e-08,27239,6.22279739919399,6.22438632836875,0.0376884472786642,9.30937024108675,1,1,1,1,1
"Natural environment percentage, buffer 1000m (0.0)",0.0296282990624205,4.91951760083794e-10,6.34092020535486e-08,44079,6.22207060617325,6.22305209901563,0.0296282990624205,9.30807748129068,1,1,1,1,1
"Number of correct matches in round (2.2)",0.0302976804732246,5.33687426691128e-10,6.82675166642402e-08,41979,6.20930290596488,6.21032747582275,0.0302976804732246,9.27271302875531,1,1,1,1,1
"Number in household (0.0)",0.0293255996612109,6.3054437305464e-10,8.00506897671248e-08,44431,6.18300824939017,6.18396461184653,0.0293255996612109,9.20028434557831,1,1,1,1,1
"Femur total BMD (bone mineral density) (right) (2.0)",0.0361378577704257,7.66249093766041e-10,9.65531040913403e-08,28962,6.15238276220319,6.15382937681881,0.0361378577704257,9.1156300261083,1,1,1,1,1
"Diagnoses - secondary ICD10 (F03)",-0.0290710522184157,8.45820693069495e-10,1.05790240018359e-07,44535,-6.13647883672045,-6.13741261928486,0.0290710522184157,9.07272169401064,1,1,1,1,1
"Diagnoses - ICD10 (D151 - D15.1 Heart)",-0.0290503605904857,8.6938554875068e-10,1.07938051401877e-07,44535,-6.13210867319431,-6.13304056014541,0.0290503605904857,9.06078758308928,1,1,1,1,1
